tabela,registros
car_int,6
marca_uti,17
municipios,5589
socioeconomico,72395
stg_cbor,2814
stg_cid,14265
stg_complexidade,4
stg_contraceptivos,13
stg_especialidade,71
stg_etnia,265
stg_hospital,6973
stg_instrucao,5
stg_internacao_procedimento,201514192
stg_internacoes,197312203
stg_nacionalidade,333
stg_procedimentos,5401
stg_raca_cor,6
stg_sexo,2
stg_vincprev,7
tempo,6210
