teste,tipo,status,falhas,universo,pct_universo
source_accepted_values_main_internacoes_ESPEC__1__2__3__4__5__6__7__8__9__10__11__12__13__14__15__16__31__32__33__34__35__36__37__38__39__40__41__42__43__44__45__46__47__48__49__61__62__63__64__65__66__67__68__69__70__71__72__73__74__75__76__77__78__79__80__81__82__83__84__85__86__87__88__89__90__91__92__93__94__95,domínio,fail,1,197312203,0.0000%
source_accepted_values_main_vincprev_VINCPREV__1__2__3__4__5__6,domínio,pass,0,197312203,0.0000%
source_accepted_values_main_internacoes_SEXO__1__3,domínio,pass,0,197312203,0.0000%
source_accepted_values_main_internacoes_VINCPREV__1__2__3__4__5__6,domínio,fail,1,197312203,0.0000%
source_not_null_main_car_int_CAR_INT,nulidade,pass,0,197312203,0.0000%
source_not_null_main_car_int_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_cbor_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_cbor_CBOR,nulidade,pass,0,197312203,0.0000%
source_not_null_main_cid_CID,nulidade,pass,0,197312203,0.0000%
source_not_null_main_cid_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_cid_RESTRSEXO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_cid_TP_NIVEL,nulidade,pass,0,197312203,0.0000%
source_not_null_main_complexidade_COMPLEX,nulidade,pass,0,197312203,0.0000%
source_not_null_main_complexidade_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_contraceptivos_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_contraceptivos_CONTRACEPTIVO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_especialidade_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_especialidade_ESPEC,nulidade,pass,0,197312203,0.0000%
source_not_null_main_etnia_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_etnia_ETNIA,nulidade,pass,0,197312203,0.0000%
source_not_null_main_hospital_CNES,nulidade,pass,0,197312203,0.0000%
source_not_null_main_hospital_MUNIC_MOV,nulidade,pass,0,197312203,0.0000%
source_not_null_main_instrucao_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_instrucao_INSTRU,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacao_procedimento_N_AIH,nulidade,pass,0,197312203,0.0000%
